Unnamed: 0,title,channelId,thumbnailUrl,videoId,type_video,viewCount,subscriberCount,videoCount,keywords,views/subscriber
34,Why iPhone&#39;s Features are Always &quot;Late&quot;,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/wGKb3oUo8go/mqdefault.jpg,wGKb3oUo8go,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
35,Talking Tech with Kobe Bryant!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/dP5Au3tH448/mqdefault.jpg,dP5Au3tH448,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
36,Google Pixel 7A Review: New Price!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/LRJPk9BmJY4/mqdefault.jpg,LRJPk9BmJY4,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
37,The Galaxy S23 Ultra is Better Than You Think!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/zhoTX0RRXPQ/mqdefault.jpg,zhoTX0RRXPQ,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
38,The 2020 13&quot; MacBook Pro Impressions: Wait a Minute!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/Kl0E8p2IBmw/mqdefault.jpg,Kl0E8p2IBmw,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
39,Some Quick Advice from Barack Obama!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/I49VNQ6lmKk/mqdefault.jpg,I49VNQ6lmKk,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
40,AirPods 3 Review: Easy Mode!,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/LcI6F_GPwfE/mqdefault.jpg,LcI6F_GPwfE,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
41,Bose QC35: Best Noise Cancelling Headphones?,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/DAxj9CjczXw/mqdefault.jpg,DAxj9CjczXw,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
42,M4 iPad Pro Impressions: Well This is Awkward,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/-T0MGehwWvE/mqdefault.jpg,-T0MGehwWvE,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
43,I Gave the Pixel Another Chance...,UCBJycsmduvYEL83R_U4JriQ,https://i.ytimg.com/vi/MiTG1ride7s/mqdefault.jpg,MiTG1ride7s,normal,4314556671,19000000,1662,MKBHD MarquesBrownlee Marques Brownlee,227.08193005263158
