title,channelId,thumbnailUrl,videoId
M3 MAX MacBook Pro 3 Months later… MAXED OUT! (but was it worth it?),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/mBdSq6QL2cg/mqdefault.jpg,mBdSq6QL2cg
Ray-Ban Meta Smart Glasses just got WAY Smarter!!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/H-dvkLK651A/mqdefault.jpg,H-dvkLK651A
The best iPad Pro is the iPad Air!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/nEmZAJipiE8/mqdefault.jpg,nEmZAJipiE8
NOW is a great time to buy the iPad Mini 6!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/godb_npcLG8/mqdefault.jpg,godb_npcLG8
Do NOT buy the iPhone 12 Pro!!! | iPhone 12 Black Review (24 hours later),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/Ct6U3ksEyoo/mqdefault.jpg,Ct6U3ksEyoo
iPadOS15 - EVERYTHING you need to know!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/YuCaoj2_kFo/mqdefault.jpg,YuCaoj2_kFo
M2 Macbook Air - Is it better to upgrade to 16GB RAM or 512GB storage?,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/0Kq_3QndYoU/mqdefault.jpg,0Kq_3QndYoU
New iPad Pro 2021 Magic Keyboard  - Confirmed (?),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/01ymIshGUjw/mqdefault.jpg,01ymIshGUjw
iPad Pro Magic Keyboard review - should you buy it?,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/N0rEVbqLnvg/mqdefault.jpg,N0rEVbqLnvg
Base model M2 MacBook Air 9 months later - How did it hold up??,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/-wB66m-B1fw/mqdefault.jpg,-wB66m-B1fw
Decision time!! | iPhone 12 mini vs iPhone 12 vs iPhone 12 Pro Max,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/wwDXcfR67Yo/mqdefault.jpg,wwDXcfR67Yo
"iPad Pro Magic Keyboard, 6 months later: Am I disappointed?",UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/t7hEmFtINIw/mqdefault.jpg,t7hEmFtINIw
M1 iPad Pro still kills it in 2023! Here’s why 🔥,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/Ja-C-nMrDx0/mqdefault.jpg,Ja-C-nMrDx0
Watch BEFORE buying the Apple MAGSAFE Battery pack! - Which iPhone battery pack should I get?,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/VwbQXWYIjtg/mqdefault.jpg,VwbQXWYIjtg
M2 MacBook Pro AND M2 Mac Mini! (M2 Pro - M2 Max chips!),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/kki-5SKUnRI/mqdefault.jpg,kki-5SKUnRI
I got the M2 Pro Mac Mini -  but should YOU??,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/0sVBWObuhB4/mqdefault.jpg,0sVBWObuhB4
M2 Macbook Air 2022 - don&#39;t choose WRONG!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/i_jHQZ3yS00/mqdefault.jpg,i_jHQZ3yS00
The best ECOSYSTEM for your Apple iPad Pro! 2022,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/LsFquvfp1h8/mqdefault.jpg,LsFquvfp1h8
10 Best iPad (Pro) Apps for Students,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/wNxeQQ-blt0/mqdefault.jpg,wNxeQQ-blt0
How to make the M1 iPad Pro EVEN BETTER!! - Best iPad Pro Accessories 2021,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/8BhrbtqygeM/mqdefault.jpg,8BhrbtqygeM
Apple Fanboy Builds Gaming PC (and Setup)!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/BNHCgiCisVE/mqdefault.jpg,BNHCgiCisVE
Airpods Pro 2 review - I was WRONG!! (p.s. you were right),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/ij7JwdU9WPs/mqdefault.jpg,ij7JwdU9WPs
iSwitched! - Apple Fanboy Switches to Samsung Galaxy Z Fold 5,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/1-qMMq59Ht4/mqdefault.jpg,1-qMMq59Ht4
What&#39;s in my tech bag 2021 | Every day carry,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/sbOEgq6tuz4/mqdefault.jpg,sbOEgq6tuz4
M1 MAX MacBook Pro - these accessories will blow your mind!!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/ZW6_Gq4N5mM/mqdefault.jpg,ZW6_Gq4N5mM
The Ultimate Solution to Expensive Apple Storage! - UGREEN NAS,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/QoHFRXGlRYg/mqdefault.jpg,QoHFRXGlRYg
Final Cut Pro on the iPad Pro 2021?,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/o91NG8rKV8s/mqdefault.jpg,o91NG8rKV8s
